nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,1,0.0,122.109
0,5,200,0,0.0,108.746
1,4,200,1,24.4013,97.7299
1,4,200,0,21.9443,87.014
2,3,200,1,51.0308,71.198
2,3,200,0,46.3994,64.2771
3,2,200,1,78.1019,44.2933
3,2,200,0,72.8077,41.5705
4,1,200,1,102.765,19.9184
4,1,200,0,101.21,19.218
5,0,200,1,122.991,0.0
5,0,200,0,127.851,0.0
0,10,200,1,0.0,122.382
0,10,200,0,0.0,100.18
2,8,200,1,31.962,90.4525
2,8,200,0,25.4272,74.7294
4,6,200,1,63.876,58.7688
4,6,200,0,55.4437,48.6508
6,4,200,1,93.0043,30.0029
6,4,200,0,82.9612,27.7306
8,2,200,1,113.434,9.93291
8,2,200,0,108.99,10.7809
10,0,200,1,123.749,0.0
10,0,200,0,128.578,0.0
0,20,200,1,0.0,121.811
0,20,200,0,0.0,90.9182
4,16,200,1,42.479,79.3934
4,16,200,0,32.5889,58.9097
8,12,200,1,81.6171,40.6932
8,12,200,0,65.1127,33.0936
12,8,200,1,106.466,16.4461
12,8,200,0,95.5426,14.2374
16,4,200,1,118.136,5.21032
16,4,200,0,114.581,5.2054
20,0,200,1,123.654,0.0
20,0,200,0,128.572,0.0
0,40,200,1,0.0,121.47
0,40,200,0,0.0,81.3339
8,32,200,1,54.6352,66.8857
8,32,200,0,36.7606,44.1381
16,24,200,1,95.2418,27.0044
16,24,200,0,68.4492,20.9682
24,16,200,1,112.797,10.2161
24,16,200,0,96.8733,8.78944
32,8,200,1,120.752,2.81402
32,8,200,0,116.118,2.75212
40,0,200,1,123.878,0.0
40,0,200,0,128.811,0.0
