nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p90_ms
0,40,200,True,EB,189.6163688000002
0,40,200,False,EB,295.605474
8,32,200,True,DB,194.96559879999998
8,32,200,False,DB,315.366486
8,32,200,True,EB,184.1027537999999
8,32,200,False,EB,287.61940440000006
16,24,200,True,DB,187.23218080000007
16,24,200,False,DB,277.51439840000006
16,24,200,True,EB,191.75496420000033
16,24,200,False,EB,296.1100180000012
24,16,200,True,DB,182.8582688
24,16,200,False,DB,256.95594679999994
24,16,200,True,EB,203.59754760000024
24,16,200,False,EB,295.6410938000001
32,8,200,True,DB,156.822966
32,8,200,False,DB,192.870396
32,8,200,True,EB,246.730809
32,8,200,False,EB,278.1655046000003
40,0,200,True,DB,99.557234
40,0,200,False,DB,99.284234
