nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p90_ms
0,10,200,True,EB,41.83176739999999
0,10,200,False,EB,55.622096
2,8,200,True,DB,38.44959
2,8,200,False,DB,48.307102
2,8,200,True,EB,43.9752644
2,8,200,False,EB,58.057111
4,6,200,True,DB,35.7254998
4,6,200,False,DB,45.461686400000005
4,6,200,True,EB,48.730689200000015
4,6,200,False,EB,63.4661188
6,4,200,True,DB,33.087078
6,4,200,False,DB,40.387072
6,4,200,True,EB,58.717544
6,4,200,False,EB,68.42612180000002
8,2,200,True,DB,28.241472
8,2,200,False,DB,27.888066
8,2,200,True,EB,74.006768
8,2,200,False,EB,76.1911638
10,0,200,True,DB,23.209648
10,0,200,False,DB,23.146054
