nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p90_ms
0,5,200,True,EB,20.767751
0,5,200,False,EB,25.444054
1,4,200,True,DB,18.103448
1,4,200,False,DB,20.630042
1,4,200,True,EB,20.74886
1,4,200,False,EB,25.433048
2,3,200,True,DB,15.72663
2,3,200,False,DB,20.25903
2,3,200,True,EB,20.974048
2,3,200,False,EB,25.672242600000004
3,2,200,True,DB,15.42263
3,2,200,False,DB,17.73803
3,2,200,True,EB,23.164648
3,2,200,False,EB,25.689252800000016
4,1,200,True,DB,13.06203
4,1,200,False,DB,13.03603
4,1,200,True,EB,28.10866
4,1,200,False,EB,30.454066
5,0,200,True,DB,10.541618
5,0,200,False,DB,10.513024
