nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p90_ms
0,20,200,True,EB,85.78532339999997
0,20,200,False,EB,119.13418720000001
4,16,200,True,DB,77.6645544
4,16,200,False,DB,108.8355872
4,16,200,True,EB,90.72550319999999
4,16,200,False,EB,126.78154360000005
8,12,200,True,DB,75.51659580000002
8,12,200,False,DB,103.78968
8,12,200,True,EB,95.81633099999999
8,12,200,False,EB,131.42001720000005
12,8,200,True,DB,71.99350260000001
12,8,200,False,DB,91.287174
12,8,200,True,EB,111.2674204
12,8,200,False,EB,144.4934724
16,4,200,True,DB,71.646962
16,4,200,False,DB,83.67307399999999
16,4,200,True,EB,153.825563
16,4,200,False,EB,150.00002520000004
20,0,200,True,DB,48.554708
20,0,200,False,DB,48.421114
