nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p50_ms
0,5,200,True,EB,5.248606
0,5,200,False,EB,7.603012
1,4,200,True,DB,7.742612
1,4,200,False,DB,7.988012
1,4,200,True,EB,5.276606
1,4,200,False,EB,7.612012
2,3,200,True,DB,7.742612
2,3,200,False,DB,10.097012
2,3,200,True,EB,5.516012
2,3,200,False,EB,7.641018
3,2,200,True,DB,7.769612
3,2,200,False,DB,8.008018
3,2,200,True,EB,7.698612
3,2,200,False,EB,7.686018
4,1,200,True,DB,8.002018
4,1,200,False,DB,10.144018
4,1,200,True,EB,10.201618
4,1,200,False,EB,10.182024
5,0,200,True,DB,10.228618
5,0,200,False,DB,10.200024
