nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p50_ms
0,40,200,True,EB,16.23263
0,40,200,False,EB,27.53403
8,32,200,True,DB,91.229225
8,32,200,False,DB,139.136728
8,32,200,True,EB,16.240536
8,32,200,False,EB,25.353036
16,24,200,True,DB,82.949192
16,24,200,False,DB,123.624162
16,24,200,True,EB,18.057636
16,24,200,False,EB,27.536036
24,16,200,True,DB,70.350771
24,16,200,False,DB,96.096156
24,16,200,True,EB,18.415042
24,16,200,False,EB,27.698551000000002
32,8,200,True,DB,77.00018
32,8,200,False,DB,91.484204
32,8,200,True,EB,23.212851
32,8,200,False,EB,28.129066
40,0,200,True,DB,99.557234
40,0,200,False,DB,99.284234
