nDbWifi,nEbWifi,simulationTime,enableRts,accessType,p50_ms
0,10,200,True,EB,7.867612
0,10,200,False,EB,10.218024
2,8,200,True,DB,15.42163
2,8,200,False,DB,18.008036
2,8,200,True,EB,8.126612
2,8,200,False,EB,12.559018
4,6,200,True,DB,15.38663
4,6,200,False,DB,18.02403
4,6,200,True,EB,10.263618
4,6,200,False,EB,12.649024
6,4,200,True,DB,15.459036
6,4,200,False,DB,18.026036
6,4,200,True,EB,12.767624
6,4,200,False,EB,15.125024
8,2,200,True,DB,17.961636
8,2,200,False,DB,20.207036
8,2,200,True,EB,15.57463
8,2,200,False,EB,17.695036
10,0,200,True,DB,22.896648
10,0,200,False,DB,22.833054
