nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,True,0.0,122.109
0,5,200,False,0.0,108.746
1,4,200,True,26.8843,95.2234
1,4,200,False,24.1976,84.671
2,3,200,True,54.7874,67.4432
2,3,200,False,49.2972,61.6455
3,2,200,True,80.6241,41.8238
3,2,200,False,75.6979,39.4532
4,1,200,True,105.062,17.675
4,1,200,False,102.285,18.5801
5,0,200,True,122.99,0.0
5,0,200,False,127.852,0.0
0,10,200,True,0.0,122.382
0,10,200,False,0.0,100.18
2,8,200,True,29.1062,93.3043
2,8,200,False,24.2511,76.3919
4,6,200,True,59.3127,63.2742
4,6,200,False,49.6633,53.6251
6,4,200,True,87.3416,35.5619
6,4,200,False,77.2689,32.361
8,2,200,True,107.931,15.2787
8,2,200,False,105.428,13.4378
10,0,200,True,123.663,0.0
10,0,200,False,128.563,0.0
0,20,200,True,0.0,121.811
0,20,200,False,0.0,90.9182
4,16,200,True,30.0983,91.7584
4,16,200,False,22.5559,68.5025
8,12,200,True,59.5225,62.557
8,12,200,False,46.5583,48.2069
12,8,200,True,86.4301,36.053
12,8,200,False,72.8882,29.8558
16,4,200,True,109.577,13.4469
16,4,200,False,99.8989,14.231
20,0,200,True,123.5,0.0
20,0,200,False,128.429,0.0
0,40,200,True,0.0,121.47
0,40,200,False,0.0,81.3339
8,32,200,True,23.0238,98.4959
8,32,200,False,15.1144,67.05
16,24,200,True,48.0224,73.6083
16,24,200,False,33.6379,49.4638
24,16,200,True,75.5964,46.4134
24,16,200,False,56.527,32.831
32,8,200,True,104.815,18.0126
32,8,200,False,88.1495,16.9094
40,0,200,True,123.668,0.0
40,0,200,False,128.603,0.0
