nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
1,1,200,True,63.4054,58.3447
1,1,200,False,62.2943,57.2792
1,3,200,True,32.3252,89.7733
1,3,200,False,30.0061,81.6562
3,1,200,True,96.5715,25.9719
3,1,200,False,94.4925,25.5833
1,7,200,True,17.4623,104.607
1,7,200,False,15.2297,87.3832
7,1,200,True,114.173,8.83493
7,1,200,False,113.285,8.94296
1,15,200,True,9.18585,112.713
1,15,200,False,7.26504,86.7677
15,1,200,True,120.405,2.90973
15,1,200,False,121.413,3.17047
1,23,200,True,5.8464,115.895
1,23,200,False,4.55422,84.121
23,1,200,True,121.299,2.1434
23,1,200,False,122.003,2.99611
