nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
1,1,200,True,58.1848,63.4877
1,1,200,False,57.4262,62.6719
1,3,200,True,28.9548,93.1259
1,3,200,False,26.336,85.5158
3,1,200,True,93.3926,29.0543
3,1,200,False,91.3369,28.6544
1,7,200,True,15.416,106.662
1,7,200,False,12.8107,89.9935
7,1,200,True,111.726,11.1945
7,1,200,False,110.805,10.7563
1,15,200,True,8.20823,113.69
1,15,200,False,6.23616,87.7934
15,1,200,True,119.366,3.89985
15,1,200,False,119.509,4.34813
1,23,200,True,5.14969,116.602
1,23,200,False,3.69653,85.091
23,1,200,True,120.663,2.74849
23,1,200,False,121.741,3.03589
