0,0,15
0,1,5
0,2,6
0,3,10
0,4,7
0,5,2
0,6,14
0,7,11
0,8,2
0,9,2
0,10,6
0,11,11
0,12,7
0,13,1
0,14,10
0,15,11
0,16,6
0,17,9
0,18,15
0,19,15
0,20,14
0,21,10
0,22,6
0,23,12
0,24,13
0,25,6
0,26,1
0,27,6
0,28,2
0,29,7
0,30,1
0,31,3
0,32,3
0,33,11
0,34,1
0,35,8
0,36,13
0,37,12
0,38,13
0,39,3
1.1296,0,5
1.1305,0,2
2.00008,2,7
2.00271,2,13
4.00008,4,7
4.00406,4,13
5.00008,5,4
5.00509,5,13
5.13315,3,0
5.14149,3,4
6.00008,6,14
6.01507,6,5
6.13731,1,4
6.16381,1,6
7.00008,7,6
7.01252,7,2
8.00008,8,8
8.01159,8,8
9.00008,9,15
9.0226,9,0
10.0001,10,15
10.0479,10,14
11.0001,11,0
11.0027,11,6
12.0001,12,8
12.0606,12,5
13.0001,13,12
13.0194,13,3
14.0001,14,13
14.0823,14,14
15.0001,15,15
15.0995,15,11
16.0001,16,11
16.0507,16,8
16.3629,16,14
16.6117,16,12
16.8884,16,12
17.0001,17,10
17.0813,17,14
17.2103,16,2
17.2153,16,14
17.3448,17,12
17.4997,16,6
17.5909,17,10
17.7049,16,9
17.8215,17,12
17.9355,16,1
17.9405,16,2
18.0001,18,8
18.0499,17,3
18.0726,18,3
18.1812,16,14
18.3131,18,6
18.3233,17,8
18.4953,16,1
18.5003,16,14
18.5436,18,13
18.6221,17,5
18.7533,16,7
18.842,17,2
18.8447,18,5
18.847,17,12
19.0001,19,1
19.0577,19,4
20.0001,20,15
20.0303,20,2
20.3402,20,9
20.67,20,7
21.0001,21,15
21.0302,21,3
22.0001,22,8
22.0153,22,6
23.0001,23,1
23.0515,23,15
24.0001,24,11
24.0217,24,4
25.0001,25,8
25.0829,25,2
25.0879,25,4
26.0001,26,9
26.0955,26,12
27.0001,27,1
27.0019,27,3
27.3261,27,10
27.5313,27,9
28.0001,28,6
28.3524,28,13
28.4741,27,8
28.5655,28,12
28.7733,28,5
28.8066,27,0
28.8116,27,2
29.0001,29,6
29.0116,29,12
29.108,27,8
29.1435,28,13
29.3058,29,15
29.3412,27,6
29.4528,28,4
29.5716,27,7
29.6829,28,7
29.9261,27,5
29.9694,28,11
30.0001,30,4
30.0098,30,8
30.2221,27,14
30.2276,28,5
30.3157,30,5
30.3561,29,5
30.5303,28,6
30.5989,27,6
30.6773,29,2
31.0001,31,5
31.0774,31,11
31.3147,31,12
31.542,31,1
31.7672,31,4
32.0001,32,9
32.1032,32,6
32.1135,31,1
32.1185,31,12
32.4093,32,3
33.0001,33,5
33.1212,33,7
34.0001,34,4
34.4104,34,6
35.0001,35,6
35.4342,35,1
36.0001,36,11
36.1109,36,3
37.0001,37,4
37.081,37,15
37.3472,37,13
37.618,37,9
38.0001,38,1
38.0765,38,6
38.4312,38,12
38.6568,38,1
38.6618,38,4
39.0001,39,0
39.3835,39,7
39.9608,38,7
40.118,39,12
40.1662,38,15
40.394,39,10
0,0,15
0,1,5
0,2,6
0,3,10
0,4,7
0,5,2
0,6,14
0,7,11
0,8,2
0,9,2
0,10,6
0,11,11
0,12,7
0,13,1
0,14,10
0,15,11
0,16,6
0,17,9
0,18,15
0,19,15
0,20,14
0,21,10
0,22,6
0,23,12
0,24,13
0,25,6
0,26,1
0,27,6
0,28,2
0,29,7
0,30,1
0,31,3
0,32,3
0,33,11
0,34,1
0,35,8
0,36,13
0,37,12
0,38,13
0,39,3
1.1296,0,5
1.1305,0,2
2.00008,2,7
2.00271,2,13
4.00008,4,7
4.00427,4,13
4.63194,1,4
4.63824,1,2
5.00008,5,4
5.00442,5,13
5.63172,3,0
5.63258,3,4
5.63756,3,0
6.00008,6,14
6.01334,6,5
7.00008,7,6
7.019,7,2
8.00008,8,8
8.00929,8,8
9.00008,9,15
9.01681,9,0
10.0001,10,15
10.0723,10,13
11.0001,11,0
11.0027,11,6
12.0001,12,8
12.0425,12,5
13.0001,13,12
13.0153,13,3
14.0001,14,13
14.0215,14,14
15.0001,15,15
15.023,15,6
16.0001,16,11
16.0188,16,8
17.0001,17,10
17.0657,17,14
18.0001,18,8
18.0123,18,3
19.0001,19,1
19.0179,19,11
20.0001,20,15
20.0234,20,2
20.0284,20,9
21.0001,21,15
21.0263,21,3
21.0313,21,0
22.0001,22,8
22.0189,22,6
23.0001,23,1
23.0043,23,15
24.0001,24,11
24.1085,24,12
25.0001,25,8
25.0527,25,2
25.0577,25,4
26.0001,26,9
26.0163,26,11
27.0001,27,1
27.0489,27,2
28.0001,28,6
28.0287,28,2
29.0001,29,6
29.0615,29,12
30.0001,30,4
30.0097,30,8
31.0001,31,5
31.045,31,4
32.0001,32,9
32.0574,32,3
32.3269,32,6
33.0001,33,5
33.0009,33,14
34.0001,34,4
34.0052,34,13
35.0001,35,6
35.0346,35,11
36.0001,36,11
36.0752,36,7
37.0001,37,4
37.0388,37,8
38.0001,38,1
38.0018,38,4
38.0068,38,11
39.0001,39,0
39.0718,39,8
