6.16099,1,1
11.1376,11,0
11.1401,11,5
11.1476,11,4
11.1552,11,3
13.0653,13,4
13.2277,13,2
13.3293,13,6
13.3422,13,1
14.2706,14,6
14.2807,14,6
15.092,15,2
15.1732,15,0
15.1756,15,5
15.186,15,1
16.1951,16,0
16.3554,16,2
16.6039,16,1
16.6092,16,1
16.7668,16,3
17.0458,16,6
17.0584,16,4
17.1879,16,4
17.1954,16,0
17.1979,16,0
17.2003,16,4
17.3245,17,4
17.3323,17,3
17.3373,17,1
17.3423,17,0
17.4234,17,6
17.4363,17,5
17.4464,17,4
17.4564,17,1
17.5706,17,5
17.5809,17,5
17.9842,17,2
17.9867,16,5
17.9892,17,3
17.9967,16,6
17.9967,17,1
18.0017,17,3
18.0092,16,2
18.0167,16,6
18.0267,7,4
18.0957,17,0
18.0982,17,5
18.1057,17,4
18.1132,17,2
18.1711,16,4
18.3157,17,2
18.3436,16,6
18.3539,16,5
18.3587,2,1
18.3637,2,1
18.3889,17,6
18.4018,17,6
18.4903,18,5
18.4983,18,2
18.5845,16,6
18.597,16,4
18.6047,17,4
18.6073,16,0
18.6097,16,3
18.6122,17,3
18.6196,17,0
18.6829,17,6
18.7333,16,1
18.7383,16,0
18.7407,16,6
18.7508,16,1
18.832,18,0
18.8345,18,0
18.837,18,4
18.8826,6,1
18.9362,17,2
18.9386,18,4
18.9487,18,6
18.9638,18,4
18.9716,18,2
19.0502,19,4
19.0602,16,4
19.068,16,6
19.0781,16,2
19.0831,16,3
19.1515,17,3
19.159,17,3
19.2655,16,3
20.5459,20,1
20.5508,20,5
20.5609,20,5
20.571,20,2
20.9667,20,0
20.9692,20,5
21.1292,20,5
21.2103,21,0
21.4614,21,3
21.4692,21,5
21.4793,21,4
21.4893,21,6
21.6568,21,4
22.1295,22,3
22.2793,22,2
22.2871,22,5
22.4546,22,3
22.4596,22,0
22.4621,22,4
23.1633,23,0
23.3693,23,1
23.3743,23,5
23.3869,23,6
23.3994,23,6
23.6915,23,3
23.6991,23,0
23.7015,23,6
23.7141,23,2
24.278,24,5
24.2909,24,4
24.2984,24,0
24.3009,24,5
24.4835,24,0
24.6639,24,6
24.6765,24,0
24.679,24,2
24.684,24,3
25.1514,25,0
25.1542,25,0
25.3418,25,3
25.5828,25,0
25.5852,25,4
25.5953,25,0
25.7782,25,5
25.9763,25,0
25.9787,25,1
26.0854,26,4
26.1692,25,2
26.2023,26,5
26.2123,26,1
26.2173,26,6
26.2299,26,6
26.367,25,0
26.3695,25,4
26.4608,26,6
26.4734,26,2
26.7961,26,1
26.8011,26,6
27.0069,26,2
27.212,26,2
27.3187,27,0
27.3211,27,1
27.4125,26,1
27.4175,26,3
27.4177,27,5
27.425,26,1
27.4274,26,2
27.6153,27,2
27.7699,27,0
27.7724,27,1
27.7749,27,0
27.7773,27,4
27.965,27,0
27.9675,27,1
27.9725,27,4
27.9803,27,1
28.0434,26,5
28.0558,26,4
28.0659,26,3
28.0734,26,4
28.0789,28,0
28.0813,28,3
28.0914,28,4
28.0989,28,4
28.2409,27,3
28.2484,27,1
28.2485,28,6
28.2509,27,3
28.2609,27,0
28.2635,28,4
28.2712,28,4
28.2813,28,5
28.4665,27,2
28.6114,27,5
28.6215,27,1
28.6264,27,1
28.6314,27,6
28.662,28,4
28.87,27,4
28.8775,27,0
28.88,27,0
28.941,28,1
28.9459,28,3
29.0193,27,0
29.0218,27,6
29.0344,27,2
29.0394,27,4
29.1257,28,0
29.1281,28,6
29.1994,27,3
29.2074,27,6
29.2175,27,5
29.2301,27,5
29.2756,29,1
29.2806,29,5
29.293,29,3
29.3005,29,1
29.4225,29,5
29.4301,29,0
29.4325,29,1
29.4375,29,6
29.5033,27,3
29.5112,27,1
29.5186,28,0
29.5211,28,0
29.6223,29,6
29.6374,29,0
29.6399,29,5
29.6474,29,0
29.6653,28,0
29.6678,28,6
29.7362,27,0
29.7387,27,1
29.7437,27,1
29.7462,27,4
29.7587,28,4
29.7691,28,2
29.7766,28,5
29.7866,28,6
29.8423,29,6
29.8548,29,4
29.8652,29,6
29.878,29,3
29.9464,28,1
29.9514,28,0
29.9515,28,5
29.964,28,1
30.0935,29,0
30.0959,29,4
30.1059,29,6
30.1185,29,2
30.2045,27,6
30.2171,27,1
30.2247,28,0
30.2652,1,0
30.2676,1,6
