nDbWifi,nEbWifi,simulationTime,enableRts,offeredRate_bps,offeredRate_Mbps,throughputBSS_DB,throughputBSS_EB,throughputDbPerSta_Mbps,throughputEbPerSta_Mbps,ppsDbPerSta,ppsEbPerSta,intervalDb_us,intervalEb_us
3,2,200,False,25000000,25.0,70.6082,43.9305,23.536,21.965,2029.0,1893.6,492.9,528.1
3,2,200,False,29000000,29.0,71.2869,43.6454,23.762,21.823,2048.5,1881.3,488.2,531.6
4,1,200,True,1000000,1.0,4.02408,1.00599,1.006,1.006,86.7,86.7,11530.6,11530.9
4,1,200,True,5000000,5.0,20.1205,5.03014,5.03,5.03,433.6,433.6,2306.1,2306.1
4,1,200,True,9000000,9.0,36.2167,9.0545,9.054,9.054,780.5,780.6,1281.2,1281.1
4,1,200,True,13000000,13.0,52.3131,13.0783,13.078,13.078,1127.4,1127.4,887.0,887.0
4,1,200,True,17000000,17.0,68.4097,17.1025,17.102,17.102,1474.3,1474.4,678.3,678.3
4,1,200,True,21000000,21.0,84.5072,21.1063,21.127,21.106,1821.3,1819.5,549.1,549.6
4,1,200,True,25000000,25.0,100.193,21.7212,25.048,21.721,2159.3,1872.5,463.1,534.0
4,1,200,True,29000000,29.0,100.652,21.9844,25.163,21.984,2169.2,1895.2,461.0,527.6
4,1,200,False,1000000,1.0,4.02408,1.00599,1.006,1.006,86.7,86.7,11530.6,11530.9
4,1,200,False,5000000,5.0,20.1204,5.03014,5.03,5.03,433.6,433.6,2306.1,2306.1
4,1,200,False,9000000,9.0,36.2168,9.05422,9.054,9.054,780.5,780.5,1281.2,1281.2
4,1,200,False,13000000,13.0,52.3132,13.0784,13.078,13.078,1127.4,1127.4,887.0,887.0
4,1,200,False,17000000,17.0,68.4098,17.1199,17.102,17.12,1474.3,1475.9,678.3,677.6
4,1,200,False,21000000,21.0,84.4952,21.0432,21.124,21.043,1821.0,1814.1,549.1,551.2
4,1,200,False,25000000,25.0,98.9268,21.2455,24.732,21.246,2132.0,1831.5,469.0,546.0
4,1,200,False,29000000,29.0,99.307,21.053,24.827,21.053,2140.2,1814.9,467.2,551.0
5,0,200,True,1000000,1.0,5.03007,0.0,1.006,,86.7,,11530.7,
5,0,200,True,5000000,5.0,25.1506,0.0,5.03,,433.6,,2306.1,
5,0,200,True,9000000,9.0,45.2711,0.0,9.054,,780.5,,1281.2,
5,0,200,True,13000000,13.0,65.3917,0.0,13.078,,1127.4,,887.0,
5,0,200,True,17000000,17.0,85.5119,0.0,17.102,,1474.3,,678.3,
5,0,200,True,21000000,21.0,105.63,0.0,21.126,,1821.2,,549.1,
5,0,200,True,25000000,25.0,122.905,0.0,24.581,,2119.1,,471.9,
5,0,200,True,29000000,29.0,122.905,0.0,24.581,,2119.1,,471.9,
5,0,200,False,1000000,1.0,5.03007,0.0,1.006,,86.7,,11530.7,
5,0,200,False,5000000,5.0,25.1505,0.0,5.03,,433.6,,2306.1,
5,0,200,False,9000000,9.0,45.2711,0.0,9.054,,780.5,,1281.2,
5,0,200,False,13000000,13.0,65.3926,0.0,13.079,,1127.5,,887.0,
5,0,200,False,17000000,17.0,85.5138,0.0,17.103,,1474.4,,678.3,
5,0,200,False,21000000,21.0,105.632,0.0,21.126,,1821.2,,549.1,
5,0,200,False,25000000,25.0,125.754,0.0,25.151,,2168.2,,461.2,
5,0,200,False,29000000,29.0,127.807,0.0,25.561,,2203.6,,453.8,
