8.01163,8,8000077333,11552214
8.01979,8,8011629547,8160036
8.03534,8,8019789583,15547036
8.04043,8,8035336619,5096012
8.04803,8,8040432631,7599018
8.05056,8,8048031649,2529412
8.06332,8,8050561061,12757030
8.06619,8,8063318091,2870006
8.07126,8,8066188097,5069012
8.07888,8,8071257109,7626018
8.08911,8,8078883127,10227024
8.09676,8,8089110151,7653018
8.19429,8,8096763169,97527634
8.2328,8,8194290803,38505090
8.2531,8,8232795893,20303048
8.45559,8,8253098941,202490116
8.4762,8,8455589057,20606454
8.48128,8,8476195511,5087012
8.49914,8,8481282523,17853042
8.50169,8,8499135565,2556412
8.50675,8,8501691977,5060012
8.50928,8,8506751989,2529412
8.52975,8,8509281401,20464048
8.55036,8,8529745449,20616048
8.59145,8,8550361497,41088502
8.61444,8,8591449999,22994054
8.63215,8,8614444053,17710042
8.63755,8,8632154095,5400012
8.99857,8,8637554107,361012470
9.0011,8,8998566577,2529412
9.01894,9,9000077333,18862698
9.02216,8,9001095989,21060066
9.03742,8,9022156055,15260036
9.04253,8,9037416091,5114012
9.04792,9,9019207043,28714072
9.05046,8,9042530103,7930018
9.06587,9,9047921115,17951042
9.07098,8,9050460121,20517048
9.08928,8,9070977169,18299448
9.10455,8,9089276617,15269036
9.10719,8,9104545653,2646006
9.1098,8,9107191659,2610006
9.11234,8,9109801665,2538412
9.11487,8,9112340077,2529412
9.15339,8,9114869489,38523090
9.21003,8,9153392579,56634538
9.23031,8,9210027117,20285048
9.2354,8,9230312165,5087012
9.25602,8,9235399177,20625048
9.27648,8,9256024225,20455048
9.39427,8,9276479273,117794682
9.41498,8,9394273955,20705048
9.41755,8,9414979003,2574412
9.43793,8,9417553415,20374048
9.45334,8,9437927463,15412036
9.45587,8,9453339499,2529412
9.46128,9,9065872157,395405172
9.46636,9,9461277329,5087012
9.46889,8,9455868911,13025436
9.48919,9,9466364341,22824054
9.49173,8,9468894347,22833054
9.49426,9,9489188395,5069012
9.51244,9,9494257407,18183448
