nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,1,0.0,122.109
0,5,200,0,0.0,108.746
1,4,200,1,17.8373,104.244
1,4,200,0,15.9856,93.3908
2,3,200,1,39.4715,82.6497
2,3,200,0,36.2142,74.8527
3,2,200,1,65.6102,56.6134
3,2,200,0,61.5026,52.6734
4,1,200,1,94.6942,27.7333
4,1,200,0,91.6633,27.8182
5,0,200,1,122.731,0.0
5,0,200,0,127.542,0.0
0,10,200,1,0.0,122.382
0,10,200,0,0.0,100.18
2,8,200,1,13.4229,108.978
2,8,200,0,11.7311,89.7274
4,6,200,1,33.9598,88.5062
4,6,200,0,28.7973,74.8271
6,4,200,1,60.2532,62.3852
6,4,200,0,53.2704,54.3551
8,2,200,1,91.469,31.4893
8,2,200,0,86.0216,29.7625
10,0,200,1,123.104,0.0
10,0,200,0,128.301,0.0
0,20,200,1,0.0,121.811
0,20,200,0,0.0,90.9182
4,16,200,1,3.64017,118.26
4,16,200,0,3.362,90.2079
8,12,200,1,18.5016,103.473
8,12,200,0,14.0438,81.4366
12,8,200,1,45.4235,76.7236
12,8,200,0,35.9108,63.4464
16,4,200,1,80.7604,41.785
16,4,200,0,72.017,36.5233
20,0,200,1,123.26,0.0
20,0,200,0,128.178,0.0
0,40,200,1,0.0,121.47
0,40,200,0,0.0,81.3339
8,32,200,1,0.100415,121.563
8,32,200,0,0.111573,84.5868
16,24,200,1,0.51164,121.342
16,24,200,0,0.468605,87.7877
24,16,200,1,13.3409,108.637
24,16,200,0,9.41176,82.9067
32,8,200,1,60.3759,61.882
32,8,200,0,46.7464,50.9128
40,0,200,1,123.461,0.0
40,0,200,0,128.373,0.0
