nDbWifi,nEbWifi,simulationTime,enableRts,throughputBSS_DB,throughputBSS_EB
0,5,200,1,0.0,122.109
0,5,200,0,0.0,108.746
1,4,200,1,30.3729,91.7457
1,4,200,0,27.1893,81.1649
2,3,200,1,61.2931,60.9872
2,3,200,0,54.9788,55.5321
3,2,200,1,88.5905,33.9501
3,2,200,0,84.1156,31.1264
4,1,200,1,110.059,12.8091
4,1,200,0,108.765,12.8139
5,0,200,1,123.166,0.0
5,0,200,0,128.061,0.0
0,10,200,1,0.0,122.382
0,10,200,0,0.0,100.18
2,8,200,1,40.4367,81.9861
2,8,200,0,32.875,67.6277
4,6,200,1,76.4148,46.3408
4,6,200,0,66.1587,39.3351
6,4,200,1,102.243,20.928
6,4,200,0,94.1779,19.2883
8,2,200,1,116.858,6.68614
8,2,200,0,115.887,6.30838
10,0,200,1,123.873,0.0
10,0,200,0,128.727,0.0
0,20,200,1,0.0,121.811
0,20,200,0,0.0,90.9182
4,16,200,1,52.4683,69.47
4,16,200,0,38.6684,52.7112
8,12,200,1,92.8115,29.673
8,12,200,0,75.5192,24.9322
12,8,200,1,112.137,10.935
12,8,200,0,103.516,9.29022
16,4,200,1,120.388,3.07807
16,4,200,0,118.682,3.15551
20,0,200,1,123.695,0.0
20,0,200,0,128.618,0.0
0,40,200,1,0.0,121.47
0,40,200,0,0.0,81.3339
8,32,200,1,65.9016,55.6454
8,32,200,0,44.1701,36.571
16,24,200,1,102.573,19.8033
16,24,200,0,76.4286,15.5185
24,16,200,1,117.073,6.13011
24,16,200,0,102.237,6.01996
32,8,200,1,121.634,1.98201
32,8,200,0,117.931,2.04302
40,0,200,1,123.9,0.0
40,0,200,0,128.798,0.0
